method,check,descriptor,coef,std_err,z,p_value,odds_ratio,ci_lo,ci_hi,n_fail,n_eligible,n_clusters,estimable
deepdock,no_internal_clashes,mw,-0.76310298526048,0.3673659998354884,-2.07722812019133,0.03778050965577026,0.4662175141203196,0.22692695122001977,0.9578358555647608,205,427,427,True
deepdock,no_internal_clashes,n_rotatable_bonds,2.2541915185733528,0.2849210480591244,7.911635640570795,2.540289584204792e-15,9.52758731810334,5.45076805320847,16.653601697590304,205,427,427,True
deepdock,no_internal_clashes,n_aromatic_rings,0.341175824833051,0.21616986167646007,1.5782765561634418,0.11450208932436502,1.4066005344254922,0.9208028572271721,2.1486956170010627,205,427,427,True
deepdock,no_internal_clashes,n_stereocentres,0.5093285237129241,0.2550979590900507,1.996599759283566,0.04586867903329104,1.6641733667369722,1.009389518891705,2.7437108695139902,205,427,427,True
deepdock,no_internal_clashes,clogp,-0.14386765688987177,0.21401336389018397,-0.6722367906131981,0.501432962825584,0.8660023499200212,0.5693122974114417,1.3173087486023562,205,427,427,True
deepdock,no_internal_clashes,formal_charge,0.060944603543600845,0.1292840813463362,0.4714006775539343,0.6373546322249857,1.0628400349847034,0.8249375935672205,1.36935078335018,205,427,427,True
deepdock,no_internal_clashes,n_halogens,0.24484981368957565,0.13505336965772058,1.812985594584743,0.06983404317301337,1.2774294463819826,0.9803457858671116,1.664541240456739,205,427,427,True
deepdock,energy_ratio_within_threshold,mw,-0.8315465131833009,0.3561407712813394,-2.334881541901325,0.019549609862425803,0.43537545153316326,0.21662888468979205,0.8750069690343459,205,427,427,True
deepdock,energy_ratio_within_threshold,n_rotatable_bonds,2.0663671376699115,0.26180395643240034,7.892803324396904,2.9547306656342924e-15,7.896085557877353,4.726763940654642,13.190455017452019,205,427,427,True
deepdock,energy_ratio_within_threshold,n_aromatic_rings,0.08481966643286798,0.2255875720027429,0.37599441174816434,0.7069210505028474,1.0885207521677454,0.6995459130662992,1.6937807880346198,205,427,427,True
deepdock,energy_ratio_within_threshold,n_stereocentres,0.6758952721407282,0.24077306768905513,2.807188024092499,0.004997606193460932,1.9657921073098477,1.2262843344083332,3.1512582365542383,205,427,427,True
deepdock,energy_ratio_within_threshold,clogp,0.1948647918832482,0.21443065071053125,0.9087543746080601,0.36347979510764616,1.2151466776881719,0.7981876484906458,1.849917686760479,205,427,427,True
deepdock,energy_ratio_within_threshold,formal_charge,0.07427944698725528,0.13024787969550475,0.5702929457347542,0.5684790246408964,1.0771077579620432,0.8344339349177754,1.390357071679187,205,427,427,True
deepdock,energy_ratio_within_threshold,n_halogens,0.11462102597989239,0.13759614374280188,0.8330249879251329,0.4048306367271308,1.1214483572375389,0.8563616873186162,1.4685925778494775,205,427,427,True
deepdock,sp3_stereochemistry_preserved,mw,-0.1179310841754072,0.3859912877475846,-0.30552783940690165,0.7599641701673825,0.8887572999463266,0.41708714153589393,1.8938237589851663,106,248,248,True
deepdock,sp3_stereochemistry_preserved,n_rotatable_bonds,0.03828400014289318,0.24027658820921238,0.15933304375688379,0.8734064881373591,1.039026274591024,0.6487878786513507,1.6639885466643414,106,248,248,True
deepdock,sp3_stereochemistry_preserved,n_aromatic_rings,0.30306957657070305,0.2156076187901766,1.405653372878451,0.15982707894186277,1.3540086684449073,0.8873519476919772,2.0660792811606585,106,248,248,True
